HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458594.35491,2019-04-20.8537365,bm,2.06,14.900,13.823,0.082,10.730,0.803,g
2458594.35611,2019-04-20.8549365,bm,2.04,14.851,13.776,0.081,11.206,0.834,g
2458594.35730,2019-04-20.8561304,bm,2.15,14.305,13.832,0.142,10.651,1.379,g
2458594.60662,2019-04-21.1054637,bE,1.47,16.289,13.757,0.021,11.406,0.224,g
2458594.60798,2019-04-21.1068214,bE,1.54,16.335,13.744,0.020,11.546,0.214,g
2458594.60924,2019-04-21.1080833,bE,1.47,16.298,13.798,0.022,10.986,0.222,g
2458595.64046,2019-04-22.1393510,bi,1.51,16.104,13.813,0.027,10.830,0.264,g
2458595.64167,2019-04-22.1405653,bi,1.53,16.120,13.757,0.025,11.408,0.261,g
2458595.64289,2019-04-22.1417826,bi,1.49,16.083,13.782,0.026,11.143,0.270,g
2458596.59617,2019-04-23.0951149,bE,1.44,16.424,13.785,0.019,11.119,0.198,g
2458596.59744,2019-04-23.0963804,bE,1.47,16.406,13.774,0.019,11.222,0.201,g
2458596.59871,2019-04-23.0976559,bE,1.47,16.491,13.763,0.018,11.341,0.186,g
2458597.63826,2019-04-24.1372553,bi,1.55,99.990,99.990,99.990,99.990,99.990,g
2458597.63948,2019-04-24.1384748,bi,1.38,99.990,99.990,99.990,99.990,99.990,g
2458597.64069,2019-04-24.1396908,bi,1.50,99.990,99.990,99.990,99.990,99.990,g
2458600.35115,2019-04-26.8502805,bm,1.49,16.570,13.748,0.016,11.508,0.174,g
2458600.35237,2019-04-26.8515011,bm,1.48,16.593,13.778,0.016,11.190,0.170,g
2458600.35358,2019-04-26.8527136,bm,1.54,16.580,13.793,0.017,11.033,0.172,g
2458601.51069,2019-04-28.0098876,bE,1.48,16.660,13.757,0.015,11.409,0.159,g
2458601.51195,2019-04-28.0111532,bE,1.47,16.697,13.761,0.015,11.358,0.154,g
2458601.51322,2019-04-28.0124164,bE,1.55,16.682,13.774,0.015,11.229,0.157,g
2458602.49648,2019-04-28.9957254,bi,1.46,16.595,13.780,0.016,11.175,0.169,g
2458602.49770,2019-04-28.9969459,bi,1.47,16.617,13.779,0.016,11.182,0.167,g
2458602.49891,2019-04-28.9981616,bi,1.47,16.606,13.798,0.016,10.981,0.167,g
2458603.50046,2019-04-29.9997593,bi,1.49,16.477,13.809,0.019,10.878,0.188,g
2458603.50169,2019-04-30.0009915,bi,1.52,16.428,13.808,0.019,10.886,0.197,g
2458603.50292,2019-04-30.0022180,bi,1.55,16.527,13.789,0.017,11.081,0.180,g
2458604.52886,2019-05-01.0282178,bi,1.45,16.594,13.771,0.016,11.256,0.170,g
2458604.53009,2019-05-01.0294417,bi,1.53,16.586,13.774,0.016,11.231,0.171,g
2458604.53131,2019-05-01.0306628,bi,1.41,16.592,13.804,0.017,10.933,0.169,g
2458605.51320,2019-05-02.0126081,bi,1.41,16.607,13.747,0.016,11.512,0.168,g
2458605.51442,2019-05-02.0138340,bi,1.50,16.617,13.793,0.016,11.042,0.166,g
2458605.51564,2019-05-02.0150556,bi,1.48,16.589,13.786,0.016,11.102,0.170,g
2458607.47959,2019-05-03.9791015,bE,1.51,16.584,13.786,0.017,11.106,0.171,g
2458607.48085,2019-05-03.9803700,bE,1.52,16.550,13.759,0.017,11.383,0.177,g
